Text,Freq,Codi,Descr_codi,Codi_3,Descr_codi_3,Gran_grup_classif,Descr_gran_grup_clasif
HIPERPARATIROIDISME,2,252,Trastorns de la glàndula paratiroide,252,Trastorns de la glàndula paratiroide,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
COLESTEROL ALTO,2,2720,Hipercolesterolèmia pura,272,Trastorns del metabolisme dels lípids,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
COLESTEROLEMIA,2,2720,Hipercolesterolèmia pura,272,Trastorns del metabolisme dels lípids,03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
OBESITAT,2,278,"Sobrepès, obesitat i altres hiperalimentacions",278,"Sobrepès, obesitat i altres hiperalimentacions",03,"Malalties endocrines, nutricionals i metabòliques, i trastorns de la immunitat"
ANEMIA FERRO,2,2809,Anèmia per dèficit de ferro no especificada,280,Anèmies per dèficit de ferro,04,Malalties de la sang i els òrgans hematopoètics
ANSIEDAD LESION MEDULAR,2,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANSIEDAD Y DEPRESION,2,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANSIETAT PUNTUAL,2,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANSIOLITICOS,2,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
CRISI ANSIETAT,2,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
TRASTORNS ANSIETAT,2,30000,Estat d'ansietat no especificat,300,"Trastorns d'ansietat, dissociatiu i somatomorf",05,Trastorns mentals
ANSIEDAD Y DEPRESION,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
ANTIDEPRESIVOS,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
DEPRESIO REACTIVA,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
DEPRESSIO MENOR,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
DEPRESSIO-ANSIETAT,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
ESTADO DEPRESIVO,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
ESTAT DEPRESSIU,2,311,Trastorn depressiu no classificat a cap altre lloc,311,Trastorn depressiu no classificat a cap altre lloc,05,Trastorns mentals
TENSIO ARTERIAL,2,401,Hipertensió essencial,401,Hipertensió essencial,07,Malalties de l’aparell circulatori
ELICOBACTER PYLORI,2,4186,NA,418,NA,NA,NA
CIRCULACIO VASCULAR,2,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
CIRCULACION SANGUINEA,2,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
INSUFICIENCIA CIRCULATORIA,2,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
INSUFICIENCIA CIRCULATORIA RETORN,2,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
MALA CIRCULACION,2,4599,Trastorn no especificat de l'aparell circulatori,459,Altres trastorns de l'aparell circulatori,07,Malalties de l’aparell circulatori
BRONQUITIS ASMATICA,2,493,Asma,493,Asma,08,Malalties de l’aparell respiratori
REFLUX,2,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
REFLUX ESTOMACAL,2,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
REFLUXE GASTROESOFAGIC,2,53081,Reflux esofàgic,530,Malalties d'esòfag,09,Malalties de l’aparell digestiu
ARDOR,2,5369,Trastorn funcional no especificat de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
ARDOR ESTOMAGO,2,5369,Trastorn funcional no especificat de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
ARDORES ESTOMACALES,2,5369,Trastorn funcional no especificat de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
DIGESTION,2,5369,Trastorn funcional no especificat de l'estómac,536,Trastorns de la funció de l'estómac,09,Malalties de l’aparell digestiu
ERNIA DE HIATO,2,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
HERNIA DE HIAT,2,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
HERNIA DE IATUS,2,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
HERNIA IATO,2,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,553,Altres hèrnies de cavitat abdominal sense menció d'obstrucció o gangrena,09,Malalties de l’aparell digestiu
FETGE GRAS,2,5719,Hepatopatia crònica no especificada sense menció d'alcohol,571,Malaltia hepàtica crònica i cirrosi,09,Malalties de l’aparell digestiu
CALCULOS RENALES,2,5920,Càlcul renal,592,Càlcul renal i ureteral,10,Malalties de l’aparell genitourinari
HIPERPLASIA BENIGNA PROSTATA,2,6000,Hipertròfia (benigna) de la pròstata,600,Hiperplàsia prostàtica,10,Malalties de l’aparell genitourinari
EMBARAZO,2,650,Part normal,650,Part normal,11,"Complicacions de l’embaràs, el part i el puerperi"
DERMATITIS ATOPICA,2,6918,Altres dermatitis atòpiques i afeccions relacionades,691,Dermatitis atòpica i afeccions relacionades,12,Malalties de la pell i el teixit subcutani
ACNE ROSACEA,2,6953,Rosàcia,695,Afeccions eritematoses,12,Malalties de la pell i el teixit subcutani
ARTROSI GENOLL,2,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ARTROSIS CERVICAL,2,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ARTROSIS DE CADERA,2,715,Artrosi i trastorns relacionats,715,Artrosi i trastorns relacionats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLOR DE RODILLA,2,71946,Dolor articular de cama,719,Altres trastorns articulars i trastorns articulars no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ESPONDILITIS ANQUILOSANTE,2,7200,Espondilitis anquilosant,720,Espondilitis anquilosant i altres espondilopaties inflamatòries,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLORES DE ESPALDA,2,7245,Dorsàlgia no especificada,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DOLORES ESPALDA,2,7245,Dorsàlgia no especificada,724,Altres trastorns de l'esquena i trastorns de l'esquena no especificats,13,Malalties del sistema musculoesquelètic i el teixit connectiu
CONTRACTURA,2,72885,Espasme muscular,728,"Trastorns del múscul, el lligament i la fàscia",13,Malalties del sistema musculoesquelètic i el teixit connectiu
CONTRACTURA MUSCULAR,2,72885,Espasme muscular,728,"Trastorns del múscul, el lligament i la fàscia",13,Malalties del sistema musculoesquelètic i el teixit connectiu
CONTRACTURAS,2,72885,Espasme muscular,728,"Trastorns del múscul, el lligament i la fàscia",13,Malalties del sistema musculoesquelètic i el teixit connectiu
FIBROMIALGIA - FATIGA,2,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
FIBROMIALGIA Y FATIGA CRONICA,2,7291,Miàlgia i miositis no especificades,729,Altres trastorns dels teixits tous,13,Malalties del sistema musculoesquelètic i el teixit connectiu
OSOS,2,73390,Trastorn no especificat de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
OSSOS I ARTICULACIONS,2,73390,Trastorn no especificat de l'os i el cartílag,733,Altres trastorns de l'os i el cartílag,13,Malalties del sistema musculoesquelètic i el teixit connectiu
ESCOLIOSIS LUMBAR,2,737,Curvatura de columna vertebral,737,Curvatura de columna vertebral,13,Malalties del sistema musculoesquelètic i el teixit connectiu
DIFICULTAT PER DORMIR,2,78050,Trastorn del son no especificat,780,Símptomes generals,16,"Símptomes, signes i afeccions mal definides"
ORINAR,2,78820,Retenció urinària no especificada,788,Símptomes que afecten l'aparell urinari,16,"Símptomes, signes i afeccions mal definides"
RETENCION DE ORINA,2,78820,Retenció urinària no especificada,788,Símptomes que afecten l'aparell urinari,16,"Símptomes, signes i afeccions mal definides"
AZUCAR,2,7902,Glucosa anormal,790,Resultats anormals no específics en anàlisi de sang,16,"Símptomes, signes i afeccions mal definides"
ALERGIES,2,9953,Al·lèrgia no especificada,995,Determinades reaccions adverses no classificades a cap altre lloc,17,Lesions i intoxicacions
"""""""""PORQUE SE DUERMEN""""""""",1,NA,NA,NA,NA,NA,NA
", HIPOACUSIA",1,NA,NA,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,NA
1 PASTILLA,1,NA,NA,NA,NA,NA,NA
2 HERNIAS DISCALS,1,NA,NA,NA,NA,NA,NA
ABNEAS,1,NA,NA,NA,NA,NA,NA
ABSORCIO LIPIDS,1,NA,NA,NA,NA,NA,NA
ACCES RENAL,1,NA,NA,NA,NA,NA,NA
ACELERACION CARDIACA,1,NA,NA,NA,NA,NA,NA
ACELERAR DIGESTION,1,NA,NA,NA,NA,NA,NA
ACIATICA,1,NA,NA,NA,NA,NA,NA
ACID FOLIC,1,NA,NA,NA,NA,NA,NA
ACIDES D'ESTOMAC,1,NA,NA,NA,NA,NA,NA
ACIDESA ESTOMAC,1,NA,NA,NA,NA,NA,NA
ACIDEZ D'ESTOMAC,1,NA,NA,NA,NA,NA,NA
ACIDEZ DEL ESTOMAGO,1,NA,NA,NA,NA,NA,NA
ACIDEZ ESTOMAGO,1,NA,NA,NA,NA,NA,NA
"ACIDEZ POR REFUJO, POR UNA HERNIA DE HIATO",1,NA,NA,NA,NA,NA,NA
"ACIDEZ, BACTERIA PILORI",1,NA,NA,NA,NA,NA,NA
ACIDEZ/ARDORES,1,NA,NA,NA,NA,NA,NA
ACIDO FOLICO,1,NA,NA,NA,NA,NA,NA
ACIDO UDICO,1,NA,NA,NA,NA,NA,NA
ACIDOS GASTRICOS,1,NA,NA,NA,NA,NA,NA
ACROMEGALIA,1,NA,NA,NA,NA,NA,NA
ACUFENOS,1,NA,NA,NA,NA,NA,NA
ACUFENS,1,NA,NA,NA,NA,NA,NA
ADENOMA BENIGNE DE PROSTATA,1,NA,NA,NA,NA,NA,NA
"ADENOMA DE PARATIOIDES ,",1,NA,NA,NA,NA,NA,NA
ADENOMA HIPOFISIS,1,NA,NA,NA,NA,NA,NA
ADENOMA PROSTATIC,1,NA,NA,NA,NA,NA,NA
ADENOSIS,1,NA,NA,NA,NA,NA,NA
AFTAS BUCALES RECIDIVANTES,1,NA,NA,NA,NA,NA,NA
AGAROFOBIA,1,NA,NA,NA,NA,NA,NA
AGRANDAMIENTO BENIGNO DE PROSTATA,1,NA,NA,NA,NA,NA,NA
AGROR D'ESTOMAC,1,NA,NA,NA,NA,NA,NA
AIXAFAMENT VERTEBRA,1,NA,NA,NA,NA,NA,NA
"AL NO PODER MENJAR DE TOT, NECESSITO SUPLEMENTS DE MULTIVITAMINICS",1,NA,NA,NA,NA,NA,NA
AL-LERGIA,1,NA,NA,NA,NA,NA,NA
AL.LERGIA AL POLEN,1,NA,NA,NA,NA,NA,NA
AL?ERGIA,1,NA,NA,NA,NA,NA,NA
AL?LEGIA,1,NA,NA,NA,NA,NA,NA
AL?LERGIA ESTACIONAL,1,NA,NA,NA,NA,NA,NA
AL?LERGIA LLEU,1,NA,NA,NA,NA,NA,NA
AL?LOPECIA,1,NA,NA,NA,NA,NA,NA
ALCOHOL,1,NA,NA,NA,NA,NA,NA
ALEREGIA COLINERGICA,1,NA,NA,NA,NA,NA,NA
ALGUN MENJAR PESAT,1,NA,NA,NA,NA,NA,NA
ALMORRANAS,1,NA,NA,NA,NA,NA,NA
ALOPECIA AREATA UNIVERSAL,1,NA,NA,NA,NA,NA,NA
ALOPECIA AREATICA,1,NA,NA,NA,NA,NA,NA
ALOPESIA,1,NA,NA,NA,NA,NA,NA
ALPARA ARTRADESIS CERVICO,1,NA,NA,NA,NA,NA,NA
ALTERACIO DE LA SON,1,NA,NA,NA,NA,NA,NA
ALTERACIO DE REPOLARITZACIO CARDIACA NO VALORADA COM A PATOLOGICA (ARRITMIES).,1,NA,NA,NA,NA,NA,NA
ALTERACIO EMOCIONAL,1,NA,NA,NA,NA,NA,NA
ALTERACIO HIPOFISIS,1,NA,NA,NA,NA,NA,NA
ALTERACIO MUCOSA ESOFAC,1,NA,NA,NA,NA,NA,NA
ALTERACIONS FETGE (TRANSAMINASAS),1,NA,NA,NA,NA,NA,NA
ALTERACIONS SON,1,NA,NA,NA,NA,NA,NA
ALVEOLITIS,1,NA,NA,NA,NA,NA,NA
AMAUROSIS,1,NA,NA,NA,NA,NA,NA
AMBLIOPIA ULL ESQUERRE,1,NA,NA,NA,NA,NA,NA
AMIGALITIES (OPERADA),1,NA,NA,NA,NA,NA,NA
AMNEA,1,NA,NA,NA,NA,NA,NA
AMNESIA TRANSITORIA,1,NA,NA,NA,NA,NA,NA
ANALGESIC,1,NA,NA,NA,NA,NA,NA
ANALGESICO / ANTIINFLAMATORIO,1,NA,NA,NA,NA,NA,NA
ANELL ESOFAGIC,1,NA,NA,NA,NA,NA,NA
ANEURISMA CELEBRAL,1,NA,NA,NA,NA,NA,NA
ANEURISME DEL TIA+IM MODERADA+CARDIOPATIA CONGENITA,1,NA,NA,NA,NA,NA,NA
ANGINES I AMIGDALITIS,1,NA,NA,NA,NA,NA,NA
ANGIOEDEMA,1,NA,NA,NA,NA,NA,NA
ANGIOPATIA AMILOIDE,1,NA,NA,NA,NA,NA,NA
ANGOIXA - DEPRESSIO,1,NA,NA,NA,NA,NA,NA
ANGOIXA I ATACS DE PANIC,1,NA,NA,NA,NA,NA,NA
ANIMARME,1,NA,NA,NA,NA,NA,NA
ANIMIC/NERVIOS,1,NA,NA,NA,NA,NA,NA
ANIMICA,1,NA,NA,NA,NA,NA,NA
ANOREXIA NERVIOSA,1,NA,NA,NA,NA,NA,NA
ANOREXIA/BULIMIA,1,NA,NA,NA,NA,NA,NA
ANOSMIA / TINITUS,1,NA,NA,NA,NA,NA,NA
ANSIEDAD Y ATAQUES DE PANICO,1,NA,NA,NA,NA,NA,NA
"ANSIEDAD, TIROIDES, SUENO",1,NA,NA,NA,NA,NA,NA
ANSIETAT-DEPRESSIO,1,NA,NA,NA,NA,NA,NA
ANSIETAT/AGORAFOBIA,1,NA,NA,NA,NA,NA,NA
ANSIETAT/DEPRESSIO MENOR,1,NA,NA,NA,NA,NA,NA
ANSIOLITICO,1,NA,NA,NA,NA,NA,NA
ANTALGIN,1,NA,NA,NA,NA,NA,NA
ANTI INFLAMATORIO,1,NA,NA,NA,NA,NA,NA
ANTI-CONCEPTIVO,1,NA,NA,NA,NA,NA,NA
ANTI-EPSTEIN BARR VCA(IGG),1,NA,NA,NA,NA,NA,NA
ANTIACIDS,1,NA,NA,NA,NA,NA,NA
ANTIAGREGANTE,1,NA,NA,NA,NA,NA,NA
ANTIAGREGANTES,1,NA,NA,NA,NA,NA,NA
ANTIBABIES,1,NA,NA,NA,NA,NA,NA
ANTIBIOTIC,1,NA,NA,NA,NA,NA,NA
ANTICARDIOLIPINA,1,NA,NA,NA,NA,NA,NA
ANTICOAGULANT,1,NA,NA,NA,NA,NA,NA
ANTICOAGULANTE,1,NA,NA,NA,NA,NA,NA
ANTICONCEPCIO,1,NA,NA,NA,NA,NA,NA
ANTICONCEPTIU HORMONAL,1,NA,NA,NA,NA,NA,NA
ANTICONCEPTIVES,1,NA,NA,NA,NA,NA,NA
ANTICONCEPTIVO ORAL,1,NA,NA,NA,NA,NA,NA
ANTICOPTCEPTIUS,1,NA,NA,NA,NA,NA,NA
ANTICUERPOS ANTITIROIDEOS ALTOS,1,NA,NA,NA,NA,NA,NA
ANTIESTAMINICO,1,NA,NA,NA,NA,NA,NA
ANTIESTAMINICS,1,NA,NA,NA,NA,NA,NA
ANTIFLAMATORI,1,NA,NA,NA,NA,NA,NA
ANTIFLAMATORIO,1,NA,NA,NA,NA,NA,NA
ANTIFLAMATORIS,1,NA,NA,NA,NA,NA,NA
ANTIHISTAMINICO,1,NA,NA,NA,NA,NA,NA
ANTIINFLAMTORI,1,NA,NA,NA,NA,NA,NA
ANTIMFLAMATORIO,1,NA,NA,NA,NA,NA,NA
ANTINCONCEPTIU,1,NA,NA,NA,NA,NA,NA
ANTINFLAMATORIA,1,NA,NA,NA,NA,NA,NA
ANTIOXIDANTE,1,NA,NA,NA,NA,NA,NA
ANTITREMOLORS,1,NA,NA,NA,NA,NA,NA
ANTITUBERCULOSIS,1,NA,NA,NA,NA,NA,NA
APNEA SUENO,1,NA,NA,NA,NA,NA,NA
APNEAS DEL SUENO,1,NA,NA,NA,NA,NA,NA
APNEAS RESPIRATORIA,1,NA,NA,NA,NA,NA,NA
AQNGOIXA,1,NA,NA,NA,NA,NA,NA
ARDOR D'ESTOMAC,1,NA,NA,NA,NA,NA,NA
ARDOR D'ESTOMAG,1,NA,NA,NA,NA,NA,NA
ARDORES DE ESTOMAGO,1,NA,NA,NA,NA,NA,NA
ARDORES EN EL ESOFAGO,1,NA,NA,NA,NA,NA,NA
ARITMIAS,1,NA,NA,NA,NA,NA,NA
ARNEA DEL SUENO,1,NA,NA,NA,NA,NA,NA
ARRITMIA (WPW),1,NA,NA,NA,NA,NA,NA
ARRITMIA AURICULAR,1,NA,NA,NA,NA,NA,NA
ARRITMIA CONGENITA,1,NA,NA,NA,NA,NA,NA
ARRITMIA CORAZON,1,NA,NA,NA,NA,NA,NA
ARRITMIA EXTRASISTOLE,1,NA,NA,NA,NA,NA,NA
ARRITMIA FA,1,NA,NA,NA,NA,NA,NA
ARRITMIA PEROXISTICA AURICOLOVENTRICULAR,1,NA,NA,NA,NA,NA,NA
ARRITMIA-TAQUICARDIA,1,NA,NA,NA,NA,NA,NA
ARRITMIES DEL COR,1,NA,NA,NA,NA,NA,NA
ARTEREOESCLEROSI,1,NA,NA,NA,NA,NA,NA
ARTICULACION,1,NA,NA,NA,NA,NA,NA
ARTOSIS (DESGASTE CARTILAGO RODILLAS),1,NA,NA,NA,NA,NA,NA
ARTRITIS REUMATOIDE PALINDROMICA,1,NA,NA,NA,NA,NA,NA
ARTRODESIS LUMBAR,1,NA,NA,NA,NA,NA,NA
ASPIRINA,1,NA,NA,NA,NA,NA,NA
ATAC AL RONYO,1,NA,NA,NA,NA,NA,NA
ATEROMA 15%,1,NA,NA,NA,NA,NA,NA
ATROFIA VULVAR,1,NA,NA,NA,NA,NA,NA
ATROSI,1,NA,NA,NA,NA,NA,NA
ATROSIS EN LA CADERA,1,NA,NA,NA,NA,NA,NA
AUMENT DE HEMATIES,1,NA,NA,NA,NA,NA,NA
AUSENCIES,1,NA,NA,NA,NA,NA,NA
AYUDA DEPRESION,1,NA,NA,NA,NA,NA,NA
BACTERIA EN EL ESTOMAGO,1,NA,NA,NA,NA,NA,NA
BAIX NIVEL DE FERRO,1,NA,NA,NA,NA,NA,NA
BAIX NIVELL,1,NA,NA,NA,NA,NA,NA
BAIX NIVELL DE CALC,1,NA,NA,NA,NA,NA,NA
BAIXA DE FERRO DURANT LA MESTRUACIO,1,NA,NA,NA,NA,NA,NA
BAIXA EN FERRO,1,NA,NA,NA,NA,NA,NA
BAJA DE ACIDO FOLICO,1,NA,NA,NA,NA,NA,NA
BAJA DE MORAL,1,NA,NA,NA,NA,NA,NA
BAJA VITAMINA D,1,NA,NA,NA,NA,NA,NA
BARICOCELE,1,NA,NA,NA,NA,NA,NA
BARRETT,1,NA,NA,NA,NA,NA,NA
BARRO BILIAR,1,NA,NA,NA,NA,NA,NA
BECET,1,NA,NA,NA,NA,NA,NA
BEN ESTAR GENERAL,1,NA,NA,NA,NA,NA,NA
BERTEBRES LUMBARS,1,NA,NA,NA,NA,NA,NA
BETA-BLOQUEJANT,1,NA,NA,NA,NA,NA,NA
BIEN ESTAR,1,NA,NA,NA,NA,NA,NA
BILIRRUBINA ALTA,1,NA,NA,NA,NA,NA,NA
BIPOLARIDAD LEVE,1,NA,NA,NA,NA,NA,NA
BIPOLARITAT,1,NA,NA,NA,NA,NA,NA
BIPORALIDAD,1,NA,NA,NA,NA,NA,NA
BLEFAROESPASME ULL,1,NA,NA,NA,NA,NA,NA
BLOQUEIG BRANCA ESQUERRA,1,NA,NA,NA,NA,NA,NA
BLOQUEO DE RAMA IZQUIERDA,1,NA,NA,NA,NA,NA,NA
BORNQUITIS,1,NA,NA,NA,NA,NA,NA
BRCA2,1,NA,NA,NA,NA,NA,NA
BROMQUITIS CRONICA POR FUMAR,1,NA,NA,NA,NA,NA,NA
BRONCOESTASIS,1,NA,NA,NA,NA,NA,NA
BRONQUIECTASIA,1,NA,NA,NA,NA,NA,NA
BRONQUITIS ACTUAL,1,NA,NA,NA,NA,NA,NA
BRONQUITIS ASMATICA CRONICA,1,NA,NA,NA,NA,NA,NA
BRONQUITIS LLEU,1,NA,NA,NA,NA,NA,NA
BRUCEL?LOSIS,1,NA,NA,NA,NA,NA,NA
BRUXISMO,1,NA,NA,NA,NA,NA,NA
BUFETA,1,NA,NA,NA,NA,NA,NA
BUFETA HIPERACTIVA,1,NA,NA,NA,NA,NA,NA
BUFETA ORINARIA,1,NA,NA,NA,NA,NA,NA
BUFETA URINARIA HIPERACTIVA,1,NA,NA,NA,NA,NA,NA
BULIMIA NERVIOSA,1,NA,NA,NA,NA,NA,NA
BULIMIA NERVIOSA/ALIMNETACIO COMPULSIVA,1,NA,NA,NA,NA,NA,NA
BURXISME,1,NA,NA,NA,NA,NA,NA
BUSQUEDA DE EMBARAZO,1,NA,NA,NA,NA,NA,NA
BY PASS GASTRIC,1,NA,NA,NA,NA,NA,NA
CABELL,1,NA,NA,NA,NA,NA,NA
CABELL I UNGLES,1,NA,NA,NA,NA,NA,NA
CABELLO,1,NA,NA,NA,NA,NA,NA
CABEZA,1,NA,NA,NA,NA,NA,NA
CACHI- RICHI,1,NA,NA,NA,NA,NA,NA
CAIDA DE CABELLO,1,NA,NA,NA,NA,NA,NA
CAIDA DE PELO,1,NA,NA,NA,NA,NA,NA
CAIDA DEL CABELLO,1,NA,NA,NA,NA,NA,NA
CAIGUDA DELS CABELLS,1,NA,NA,NA,NA,NA,NA
CALAMBRES MUSCULARES,1,NA,NA,NA,NA,NA,NA
CALC,1,NA,NA,NA,NA,NA,NA
CALC PELS OSSOS,1,NA,NA,NA,NA,NA,NA
CALCI DESCOMPENSAT,1,NA,NA,NA,NA,NA,NA
CALCIFICACION HOMBRO,1,NA,NA,NA,NA,NA,NA
CALCUL AL RONYO,1,NA,NA,NA,NA,NA,NA
CALCUL BILIAR,1,NA,NA,NA,NA,NA,NA
CALCULO CORALIFORME,1,NA,NA,NA,NA,NA,NA
CALCULO RENAL,1,NA,NA,NA,NA,NA,NA
CALCULOS EN EL RINON,1,NA,NA,NA,NA,NA,NA
CALMA EL DOLOR,1,NA,NA,NA,NA,NA,NA
CALMANTE,1,NA,NA,NA,NA,NA,NA
CAMAS INQUIETAS,1,NA,NA,NA,NA,NA,NA
CAMES INQUIETES/SINDROME POST-POLIO,1,NA,NA,NA,NA,NA,NA
CANDIASIS BUCAL,1,NA,NA,NA,NA,NA,NA
CANDIDES A L'INTESTI,1,NA,NA,NA,NA,NA,NA
CANDIDES INTESTINALS,1,NA,NA,NA,NA,NA,NA
CANDIDIASI,1,NA,NA,NA,NA,NA,NA
CANDIDIASI VAGINAL,1,NA,NA,NA,NA,NA,NA
CAP I ABDOMEN,1,NA,NA,NA,NA,NA,NA
CARCINOMA BASCULAR SUPERFICIAL REGIO ESCOT,1,NA,NA,NA,NA,NA,NA
CARCINOMA BASOCEL.LULAR,1,NA,NA,NA,NA,NA,NA
CARCINOMA BASOCEL?LULAR,1,NA,NA,NA,NA,NA,NA
CARCINOMA BASOCELULAR SUPERFICIAL,1,NA,NA,NA,NA,NA,NA
CARCINOMA ESCAMOS,1,NA,NA,NA,NA,NA,NA
CARCINOMABASOCELULAR ESCAPULAR,1,NA,NA,NA,NA,NA,NA
CAROTIDA,1,NA,NA,NA,NA,NA,NA
CAROTIDA DTA. 50%OBST,1,NA,NA,NA,NA,NA,NA
CAROTIDAS,1,NA,NA,NA,NA,NA,NA
CARRASPERA CRONICA,1,NA,NA,NA,NA,NA,NA
CARTILAG,1,NA,NA,NA,NA,NA,NA
CARTILAGO,1,NA,NA,NA,NA,NA,NA
CARTILAGO DE RODILLA,1,NA,NA,NA,NA,NA,NA
CARTILAGS,1,NA,NA,NA,NA,NA,NA
CARTILEG GENOLL,1,NA,NA,NA,NA,NA,NA
CASPA EN CABEZA,1,NA,NA,NA,NA,NA,NA
CATARACTA UE,1,NA,NA,NA,NA,NA,NA
CATARACTES,1,NA,NA,NA,NA,NA,NA
CATARRO,1,NA,NA,NA,NA,NA,NA
CATETERISMO/RITMO CARDIACO,1,NA,NA,NA,NA,NA,NA
CAVERNOMA CEREBRAL,1,NA,NA,NA,NA,NA,NA
CCONTROL GLAUCOMA,1,NA,NA,NA,NA,NA,NA
CEFALEA EN RAIM,1,NA,NA,NA,NA,NA,NA
CEFALEA OCASIONAL,1,NA,NA,NA,NA,NA,NA
CEFALEA OCASIONAL I MENSTRUACIO,1,NA,NA,NA,NA,NA,NA
CELIAC,1,NA,NA,NA,NA,NA,NA
"CELIAQUIA , COLITIS CRONICA",1,NA,NA,NA,NA,NA,NA
CERT MALESTAR D'ESTOMAC,1,NA,NA,NA,NA,NA,NA
"CERVICALES, CONTRACTURAS",1,NA,NA,NA,NA,NA,NA
CERVICALGIAS,1,NA,NA,NA,NA,NA,NA
CIA,1,NA,NA,NA,NA,NA,NA
CIATALGIA,1,NA,NA,NA,NA,NA,NA
CIATIACA Y LUMBALGIA,1,NA,NA,NA,NA,NA,NA
CIATICA Y LUMBALGIA,1,NA,NA,NA,NA,NA,NA
CIFOPLASTIA,1,NA,NA,NA,NA,NA,NA
CIN III,1,NA,NA,NA,NA,NA,NA
CIRROSI BILIAR PRIMARIA,1,NA,NA,NA,NA,NA,NA
CIRROSIS FETGE,1,NA,NA,NA,NA,NA,NA
"CISTITIS CRONICA, AL.LERGIA ALS ACARS I AL NIQUEL, ITUS DE REPETICIO.",1,NA,NA,NA,NA,NA,NA
CISTITIS POSTCOITAL,1,NA,NA,NA,NA,NA,NA
CITOMEGALOVIRUS,1,NA,NA,NA,NA,NA,NA
CLACULOS RENALES,1,NA,NA,NA,NA,NA,NA
CLUCOSA,1,NA,NA,NA,NA,NA,NA
COAGULACIO,1,NA,NA,NA,NA,NA,NA
COL?LESTEROL,1,NA,NA,NA,NA,NA,NA
COLAGENO,1,NA,NA,NA,NA,NA,NA
